iso3,pcode,valid_date,adm_level,mean_old,median_old,min_old,max_old,count_old,sum_old,std_old,mean_new,max_new,min_new,median_new,sum_new,std_new,count_new,native_px,mean_rel,size_bucket
ETH,ET,2026-08-20,0,3.4122803,0.275,0.0,52.405,36785,125520.734,6.311085,3.4306774315786144,52.404998779296875,0.0,0.2800000011920929,127158.88652621253,6.333826783094418,37065,9196.25,0.0053914479354508025,>64 px
ETH,ET01,2026-08-20,1,3.3805673,1.3999999,0.0,25.74,1745,5899.09,5.1824446,3.348642582588941,25.739999771118164,0.0,1.3999998569488525,5892.439916895881,5.121298839633518,1760,436.25,0.009443597650329004,>64 px
ETH,ET0101,2026-08-20,2,1.9030906,0.885,0.074999996,14.505,419,797.39496,2.6319456,1.9882215870485316,19.2549991607666,0.03500000014901161,0.9249999523162842,830.3363037356071,2.802687803969373,418,104.75,0.04473301851658113,>64 px
ETH,ET0102,2026-08-20,2,3.2143707,1.7549999,0.44,19.899998,310,996.45496,3.8377762,3.304468160000178,24.900001525878906,0.4399999976158142,1.7549998760223389,1056.3889923158874,4.0296583304244304,320,77.5,0.028029579786854716,>64 px
ETH,ET0103,2026-08-20,2,1.792629,1.6499999,0.46,5.775,213,381.83,1.0477208,1.8100594654493272,5.775000095367432,0.4399999976158142,1.6349998712539673,385.47141027663656,1.0755908993542604,213,53.25,0.009723409277283329,16-64 px
ETH,ET0104,2026-08-20,2,9.306875,7.234999,0.255,25.74,168,1563.555,7.540009,8.748071434147052,25.739999771118164,0.2549999952316284,7.025000095367432,1474.901352197285,7.428054376020028,169,42.0,0.06004201902926039,16-64 px
ETH,ET0105,2026-08-20,2,1.0806818,0.145,0.0,21.345001,440,475.5,3.2348483,1.1306384579589228,21.345001220703125,0.0,0.14999999105930328,503.3739883354901,3.322493586512353,445,110.0,0.04622698185434675,>64 px
ETH,ET0106,2026-08-20,2,8.509489,5.4,0.49499995,25.64,176,1497.67,7.229475,8.352639216049704,25.639999389648438,0.4949999451637268,5.400000095367432,1487.4741473849567,7.221694400554282,178,44.0,0.01843233876326722,16-64 px
ETH,ET0107,2026-08-20,2,9.825526,7.0199995,4.0750003,23.69,19,186.685,6.0849476,8.836702042206765,23.690000534057617,1.8599998950958252,7.0199995040893555,154.49371828986256,5.6587686405463,17,4.75,0.1006382719656164,4-16 px
ETH,ET02,2026-08-20,1,0.6834454,0.13499999,0.0,9.61,3123,2134.4,1.2940897,0.6978630328694649,9.609999656677246,0.0,0.13499999046325684,2199.547208967432,1.3400853303773164,3152,780.75,0.021095515266420638,>64 px
ETH,ET0201,2026-08-20,2,0.083099715,0.0,0.0,2.36,1063,88.335,0.2572631,0.08334399503585785,2.7300000190734863,0.0,0.0,90.01329128637443,0.2507847623628663,1080,265.75,0.0029396013675599725,>64 px
ETH,ET0202,2026-08-20,2,0.47083163,0.28,0.0,5.775,992,467.06497,0.57831204,0.44471394696927063,5.775000095367432,0.0,0.2750000059604645,443.5555928379865,0.5362468811441942,997,248.0,0.05547138587679287,>64 px
ETH,ET0203,2026-08-20,2,2.5185397,2.0600002,0.0,9.61,517,1302.085,2.115104,2.656749238052594,9.609999656677246,0.0,2.194999933242798,1384.7133062233472,2.189205930568221,521,129.25,0.05487685504921534,>64 px
ETH,ET0204,2026-08-20,2,0.21533875,0.17,0.0,1.3699999,369,79.46,0.21886706,0.20496565201668412,1.369999885559082,0.0,0.16499999165534973,75.918951367474,0.20724886640452042,370,92.25,0.04817106992269562,>64 px
