iso3,pcode,valid_date,issued_date_old,leadtime,adm_level,mean_old,median_old,min_old,max_old,count_old,sum_old,std_old,mean_new,max_new,min_new,median_new,sum_new,std_new,count_new,issued_date_new,native_px,mean_rel,size_bucket
ETH,ET,2026-07-01,2026-07-01,0,0,4.0762095,1.6447144,0.039505884,17.377546,37056,151048.02,4.5948668,4.074955613153515,17.377546310424805,0.03950588405132294,1.64471435546875,151039.2153625024,4.594431867290267,37065,2026-07-01,579.0,0.00030761099165420915,>64 px
NGA,NG012009,2026-07-01,2026-07-01,0,2,4.9790516,5.481506,4.322523,6.285257,33,164.3087,0.6145568,4.956152067837735,6.285256862640381,4.32252311706543,5.481505870819092,152.29480003818995,0.6016585028608136,31,2026-07-01,0.515625,0.004599175506087373,<1 px
NGA,NG009011,2026-07-01,2026-07-01,0,2,9.526991,9.241418,9.241418,10.098136,27,257.22876,0.40386078,9.510845417054862,10.098135948181152,9.24141788482666,9.24141788482666,252.41497987739058,0.3977841606981684,27,2026-07-01,0.421875,0.0016947200795234428,<1 px
NGA,NG028006,2026-07-01,2026-07-01,0,2,5.489703,5.645668,5.0218077,5.645668,20,109.79406,0.27013946,5.466540913602863,5.645668029785156,5.021807670593262,5.645668029785156,111.91458432760419,0.2822477338982704,20,2026-07-01,0.3125,0.0042191875220094,<1 px
NGA,NG014006,2026-07-01,2026-07-01,0,2,7.126442,7.126442,7.126442,7.126442,20,142.52884,0.0,7.126441955566406,7.126441955566406,7.126441955566406,7.126441955566406,148.70549749060592,0.0,21,2026-07-01,0.3125,6.2350319687337825e-09,<1 px
NGA,NG017004,2026-07-01,2026-07-01,0,2,10.0846,10.0846,10.0846,10.0846,5,50.423,0.0,10.084600448608398,10.084600448608398,10.084600448608398,10.084600448608398,39.64028978489523,0.0,4,2026-07-01,0.078125,4.448450096473568e-08,<1 px
NGA,NG011005,2026-07-01,2026-07-01,0,2,6.7537093,6.50861,6.50861,7.5707073,13,87.79822,0.4474883,6.66213412330593,7.570707321166992,6.508609771728516,6.508609771728516,90.03854721086122,0.37348107189285723,14,2026-07-01,0.203125,0.013559241688722046,<1 px
NGA,NG011006,2026-07-01,2026-07-01,0,2,7.5707073,7.5707073,7.5707073,7.5707073,7,52.99495,0.0,7.566476881585493,7.570707321166992,6.508609771728516,7.570707321166992,65.30238325583537,0.06689725624795996,9,2026-07-01,0.109375,0.0005587877389615013,<1 px
NGA,NG020012,2026-07-01,2026-07-01,0,2,6.1344185,6.1344185,6.1344185,6.1344185,1,6.1344185,0.0,6.134418487548828,6.134418487548828,6.134418487548828,6.134418487548828,7.853510735098098,0.0,1,2026-07-01,0.015625,2.0297232165159233e-09,<1 px
NGA,NG022009,2026-07-01,2026-07-01,0,2,6.4202075,6.265547,6.265547,7.1664286,70,449.41452,0.27843288,6.417201622859338,7.166428565979004,6.265546798706055,6.265546798706055,477.5058138738077,0.2705672353711933,74,2026-07-01,1.09375,0.00046819002978677087,1-4 px
NGA,NG021013,2026-07-01,2026-07-01,0,2,6.5201955,6.702836,6.190036,6.702836,56,365.13095,0.20791776,6.51388637981537,7.044841766357422,5.832658767700195,6.702836036682129,363.4754798279962,0.21615914622476348,56,2026-07-01,0.875,0.0009676274560525288,<1 px
NGA,NG036004,2026-07-01,2026-07-01,0,2,5.7265306,5.444046,5.113725,6.8679957,72,412.31018,0.49766308,5.718392908207684,6.867995738983154,5.113725185394287,5.4440460205078125,407.6063169298943,0.48392822522819373,71,2026-07-01,1.125,0.0014210509575058206,1-4 px
